,PIB_R_0,PIB_R_1C,EMP_0,EMP_1C,POPACT_0,POPACT_1C,EMISTOTALESD_0,EMISTOTALESD_1C,P_VAB_0,P_VAB_1C,P_CFIN_0,P_CFIN_1C,P_XBS_0,P_XBS_1C,RDMEN_0,RDMEN_1C,EQUEXT_R_0,EQUEXT_R_1C,I_R_0,I_R_1C,XBS_R_0,XBS_R_1C,SALM_0,SALM_1C,R_EQUEXT_R_0,R_EQUEXT_R_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C
2008,48.48780,48.48780,349.0577,349.0577,221.3905,221.3905,10.03568,10.03568,0.815784,0.815784,0.913431,0.913431,0.785510,0.785510,15.36671,15.36671,18.71319,18.71319,9.015166,9.015166,82.25655,82.25655,56.64172,56.64172,38.59361,38.59361,11.07204,11.07204,5.100000,5.100000,3.373946,3.373946,3.722730,3.722730,11.07204,11.07204,5.100000,5.100000,3.373946,3.373946
2009,46.91730,46.91730,352.5183,352.5183,226.8257,226.8257,9.405346,9.405346,0.822995,0.822995,0.903572,0.903572,0.757987,0.757987,15.82200,15.82200,17.95736,17.95736,7.738064,7.738064,76.20951,76.20951,57.48172,57.48172,38.27449,38.27449,12.58226,12.58226,5.100000,5.100000,-0.209979,-0.209979,0.153553,0.153553,12.58226,12.58226,5.100000,5.100000,-0.209979,-0.209979
2010,48.68160,48.68160,359.0165,359.0165,231.3167,231.3167,9.915866,9.915866,0.864524,0.864524,0.921858,0.921858,0.832435,0.832435,16.43417,16.43417,17.32995,17.32995,7.835962,7.835962,82.88142,82.88142,58.56212,58.56212,35.59856,35.59856,11.28609,11.28609,4.400000,4.400000,-0.317479,-0.317479,0.095265,0.095265,11.28609,11.28609,4.400000,4.400000,-0.317479,-0.317479
2011,49.19000,49.19000,369.6280,369.6280,237.1035,237.1035,9.993472,9.993472,0.896575,0.896575,0.949051,0.949051,0.872600,0.872600,17.25621,17.25621,16.53120,16.53120,9.204335,9.204335,86.09155,86.09155,60.82462,60.82462,33.60682,33.60682,11.58372,11.58372,4.900000,4.900000,0.658413,0.658413,1.160628,1.160628,11.58372,11.58372,4.900000,4.900000,0.658413,0.658413
2012,50.00150,50.00150,378.6591,378.6591,244.0962,244.0962,9.783217,9.783217,0.926207,0.926207,0.969294,0.969294,0.911228,0.911228,18.12676,18.12676,16.69448,16.69448,9.394774,9.394774,87.41875,87.41875,61.59474,61.59474,33.38796,33.38796,11.94405,11.94405,5.100000,5.100000,0.506452,0.506452,0.985793,0.985793,11.94405,11.94405,5.100000,5.100000,0.506452,0.506452
2013,51.58750,51.58750,385.5382,385.5382,250.8650,250.8650,9.386893,9.386893,0.948698,0.948698,0.984368,0.984368,0.933514,0.933514,19.23186,19.23186,17.55063,17.55063,9.447239,9.447239,92.76186,92.76186,63.48482,63.48482,34.02109,34.02109,15.06652,15.06652,5.900000,5.900000,0.843743,0.843743,1.342787,1.342787,15.06652,15.06652,5.900000,5.900000,0.843743,0.843743
2014,52.94070,52.94070,395.1197,395.1197,257.1411,257.1411,8.844857,8.844857,0.976884,0.976884,0.991297,0.991297,0.958136,0.958136,19.88909,19.88909,17.33666,17.33666,10.26094,10.26094,98.80173,98.80173,64.79505,64.79505,32.74731,32.74731,14.80045,14.80045,5.900000,5.900000,1.338821,1.338821,1.744693,1.744693,14.80045,14.80045,5.900000,5.900000,1.338821,1.338821
2015,54.14230,54.14230,405.2394,405.2394,261.6832,261.6832,8.663184,8.663184,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,20.24670,20.24670,17.61732,17.61732,9.371738,9.371738,103.8641,103.8641,65.84200,65.84200,32.53893,32.53893,12.99871,12.99871,6.700000,6.700000,1.334057,1.334057,1.709862,1.709862,12.99871,12.99871,6.700000,6.700000,1.334057,1.334057
2016,56.83760,56.83760,417.5202,417.5202,266.4623,266.4623,8.582394,8.582394,0.987204,0.987204,1.007500,1.007500,0.982033,0.982033,20.78283,20.78283,19.89529,19.89529,9.630926,9.630926,109.3781,109.3781,66.27896,66.27896,35.00375,35.00375,11.73988,11.73988,6.300000,6.300000,1.892965,1.892965,2.263757,2.263757,11.73988,11.73988,6.300000,6.300000,1.892965,1.892965
2017,57.58630,57.58630,432.1849,432.1849,273.3373,273.3373,8.776164,8.776164,1.009259,1.009259,1.029762,1.029762,1.027499,1.027499,22.20018,22.20018,18.96081,18.96081,10.14349,10.14349,109.1182,109.1182,68.33085,68.33085,32.92591,32.92591,13.03600,13.03600,5.500000,5.500000,1.366851,1.366851,1.737114,1.737114,13.03600,13.03600,5.500000,5.500000,1.366851,1.366851
2018,58.28843,58.28843,447.7190,447.7190,279.9103,279.9103,9.092018,9.092018,1.029821,1.029821,1.048932,1.048932,1.049364,1.049364,23.11559,23.11559,19.56219,19.56219,9.408827,9.408827,113.1544,113.1544,70.51713,70.51713,34.02766,34.02766,12.63917,12.63917,5.600000,5.600000,2.976854,2.976854,3.327078,3.327078,12.63917,12.63917,5.600000,5.600000,2.976854,2.976854
2019,59.64068,59.64068,463.4774,463.4774,287.0369,287.0369,9.235959,9.235959,1.042216,1.042216,1.066873,1.066873,1.075037,1.075037,24.33219,24.33219,19.33687,19.33687,10.26576,10.26576,118.5468,118.5468,71.85366,71.85366,33.14360,33.14360,13.55473,13.55473,5.600000,5.600000,2.230556,2.230556,2.614973,2.614973,13.55473,13.55473,5.600000,5.600000,2.230556,2.230556
2020,59.16508,59.16508,471.5600,471.5600,293.7979,293.7979,7.687908,7.687908,1.094917,1.094917,1.079590,1.079590,1.087504,1.087504,25.67567,25.67567,20.19237,20.19237,9.900292,9.900292,118.9101,118.9101,72.73061,72.73061,33.87993,33.87993,23.25064,23.25064,6.800000,6.800000,-3.427862,-3.427862,-3.286302,-3.286302,23.25064,23.25064,6.800000,6.800000,-3.427862,-3.427862
2021,58.73902,59.17140,476.2516,477.6602,299.3941,299.5249,7.143685,7.164350,1.095340,1.094505,1.089780,1.089765,1.101265,1.100669,26.24972,26.25834,21.48607,21.67064,6.956828,7.173589,127.0573,128.3431,72.49560,72.51197,36.57887,36.62351,20.34883,20.24920,7.556813,7.434492,-4.949298,-4.675551,-4.710078,-4.437061,20.34883,20.24920,7.556813,7.434492,-4.949298,-4.675551
2022,63.29270,63.76980,496.2039,498.2393,305.9918,306.2840,7.165093,7.191134,1.084961,1.086648,1.101771,1.103653,1.110087,1.111029,26.70683,26.80497,22.55597,22.80126,8.962207,9.148673,133.8198,135.1578,71.99368,72.21620,35.63755,35.75557,16.54049,16.52550,6.941622,6.803953,-4.171854,-3.908788,-3.929538,-3.668459,16.54049,16.52550,6.941622,6.803953,-4.171854,-3.908788
